Brand Name,Generic Name (Salt),Strength,Dosage Form,Company Name,MRP (INR),Pack Size,Uses,Category
Budesonide DS 1106,Budesonide,1000 IU,Tablet,Biocon Ltd,55.0,Strip of 10,Asthma and inflammatory bowel disease,Respiratory
Losartan 1107,Losartan,650 mg,Gel,Abbott India Ltd,43.0,Tube of 10 gm,High blood pressure and heart failure,Blood Pressure Regulator
Folic DS 1108,Folic Acid,650 mg,Ointment,Abbott India Ltd,31.5,Tube of 30 gm,Folic acid deficiency and pregnancy support,Supplement
Olanzapine Advance 1109,Olanzapine,250 mg/5 ml,Gel,Intas Pharmaceuticals Ltd,39.5,Tube of 20 gm,Schizophrenia and bipolar disorder,Antipsychotic
Cefixime Advance 1110,Cefixime,250 mg/5 ml,Inhaler,Abbott India Ltd,73.0,Inhaler of 60 doses,Bacterial infections including urinary tract and respiratory infections,Antibiotic
Nimesulide Plus 1111,Nimesulide,150 mg,Injection,Cipla Ltd,86.0,Vial of 10 ml,Pain and inflammation,General Use
Atorvastatin Forte 1112,Atorvastatin,40 mg,Cream,Glenmark Pharmaceuticals Ltd,24.5,Tube of 30 gm,High cholesterol and prevention of cardiovascular disease,Cholesterol Regulator
Atorvastatin 250 1113,Atorvastatin,10 mg,Tablet,Glenmark Pharmaceuticals Ltd,25.5,Strip of 20,High cholesterol and prevention of cardiovascular disease,Cholesterol Regulator
Nimesulide XR 1114,Nimesulide,650 mg,Syrup,Mankind Pharma Ltd,105.0,Bottle of 150 ml,Pain and inflammation,General Use
Sertraline Plus 1115,Sertraline,50 mg,Inhaler,Pfizer Ltd,107.5,Inhaler of 100 doses,Depression and anxiety disorders,Antidepressant
Gliclazide Max 1116,Gliclazide,20 mg/5 ml,Gel,Wockhardt Ltd,18.5,Tube of 30 gm,Type 2 diabetes mellitus,Antidiabetic
Atorvastatin DS 1117,Atorvastatin,200 mg,Cream,Micro Labs Ltd,16.5,Tube of 30 gm,High cholesterol and prevention of cardiovascular disease,Cholesterol Regulator
Atorvastatin XR 1118,Atorvastatin,1000 IU,Tablet,Abbott India Ltd,70.5,Strip of 15,High cholesterol and prevention of cardiovascular disease,Cholesterol Regulator
Gliclazide Max 1119,Gliclazide,1000 IU,Drops,Dr. Reddy's Laboratories Ltd,80.0,Bottle of 5 ml,Type 2 diabetes mellitus,Antidiabetic
Insulin Max 1120,Insulin Aspart,50 mg,Injection,Torrent Pharmaceuticals Ltd,108.0,Vial of 10 ml,Rapid-acting insulin for diabetes mellitus,Antidiabetic
Atenolol Plus 1121,Atenolol,250 mg,Inhaler,Jubilant Pharmova Ltd,151.5,Inhaler of 60 doses,High blood pressure and chest pain,Blood Pressure Regulator
Glimipiride XR 1122,Glimipiride,100 mg/5 ml,Cream,Lupin Ltd,30.0,Tube of 20 gm,Type 2 diabetes mellitus,Antidiabetic
Ofloxacin 1123,Ofloxacin,500 mg,Injection,Ipca Laboratories Ltd,107.0,Vial of 10 ml,Bacterial infections of urinary and respiratory tract,Antibiotic
Levocetirizine Plus 1124,Levocetirizine,20 mg/5 ml,Syrup,Cipla Ltd,25.5,Bottle of 150 ml,Allergic rhinitis and urticaria,Antiallergic
Aspirin Advance 1125,Aspirin,250 mg/5 ml,Inhaler,Cadila Pharmaceuticals Ltd,141.0,Inhaler of 120 doses,Pain relief and prevention of heart attack and stroke,Painkiller / Blood Thinner
Levocetirizine Advance 1126,Levocetirizine,20 mg,Oral Suspension,Dr. Reddy's Laboratories Ltd,21.5,Bottle of 60 ml,Allergic rhinitis and urticaria,Antiallergic
Calcium 250 1127,Calcium Carbonate,100 mg,Drops,Sun Pharmaceutical Industries Ltd,27.0,Bottle of 5 ml,Calcium deficiency and bone disorders,Supplement
Nimesulide Advance 1128,Nimesulide,250 mg/5 ml,Gel,Sanofi India Ltd,42.0,Tube of 20 gm,Pain and inflammation,General Use
B-complex Max 1129,B-complex,200 mg,Inhaler,Sanofi India Ltd,34.5,Inhaler of 100 doses,Vitamin B deficiency and weakness,Supplement
Paracetamol Forte 1130,Paracetamol,650 mg,Oral Suspension,Sun Pharmaceutical Industries Ltd,109.5,Bottle of 100 ml,Fever and mild to moderate pain relief,Painkiller
Insulin SR 1131,Insulin Aspart,5 mg,Syrup,Alembic Pharmaceuticals Ltd,20.0,Bottle of 150 ml,Rapid-acting insulin for diabetes mellitus,Antidiabetic
Insulin 1132,Insulin Glargine,400 IU,Syrup,Alembic Pharmaceuticals Ltd,18.0,Bottle of 100 ml,Long-acting insulin for diabetes mellitus,Antidiabetic
Lorazepam 1133,Lorazepam,400 IU,Gel,Wockhardt Ltd,23.0,Tube of 15 gm,Anxiety and insomnia,Anxiolytic
Cetirizine 500 1134,Cetirizine,20 mg/5 ml,Injection,Cipla Ltd,30.5,Vial of 10 ml,Allergic conditions and sneezing,Antiallergic
Vitamin XR 1135,Vitamin D3,75 mg,Gel,Cipla Ltd,24.0,Tube of 30 gm,Vitamin D deficiency and bone health,Supplement
Amlodipine 250 1136,Amlodipine,1000 IU,Tablet,Sun Pharmaceutical Industries Ltd,64.5,Strip of 10,High blood pressure and angina,Blood Pressure Regulator
Metoprolol XR 1137,Metoprolol,400 IU,Cream,Lupin Ltd,19.5,Tube of 20 gm,"Hypertension, angina and heart failure",Blood Pressure Regulator
Iron Max 1138,Iron Fumarate,100 mg,Cream,Glenmark Pharmaceuticals Ltd,31.5,Tube of 30 gm,Iron deficiency anemia,Supplement
Ofloxacin Forte 1139,Ofloxacin,5 mg,Gel,Ipca Laboratories Ltd,19.0,Tube of 20 gm,Bacterial infections of urinary and respiratory tract,Antibiotic
Formoterol 250 1140,Formoterol,50 mg,Gel,Mankind Pharma Ltd,36.5,Tube of 20 gm,Asthma and COPD,Respiratory
Insulin Plus 1141,Insulin Aspart,10 mg,Syrup,Mankind Pharma Ltd,31.5,Bottle of 100 ml,Rapid-acting insulin for diabetes mellitus,Antidiabetic
Levocetirizine XR 1142,Levocetirizine,20 mg,Oral Suspension,Micro Labs Ltd,17.5,Bottle of 200 ml,Allergic rhinitis and urticaria,Antiallergic
Gliclazide SR 1143,Gliclazide,5 mg,Injection,Alkem Laboratories Ltd,32.5,Vial of 1 ml,Type 2 diabetes mellitus,Antidiabetic
Ofloxacin DS 1144,Ofloxacin,200 mg,Injection,Glenmark Pharmaceuticals Ltd,71.5,Vial of 1 ml,Bacterial infections of urinary and respiratory tract,Antibiotic
Metformin Advance 1145,Metformin,100 mg/5 ml,Ointment,Lupin Ltd,20.0,Tube of 15 gm,Type 2 diabetes mellitus,Antidiabetic
Gliclazide 1146,Gliclazide,150 mg,Injection,Pfizer Ltd,103.0,Vial of 5 ml,Type 2 diabetes mellitus,Antidiabetic
Diclofenac XR 1147,Diclofenac,650 mg,Drops,Cipla Ltd,105.0,Bottle of 5 ml,Pain and inflammation in arthritis and musculoskeletal conditions,Painkiller
Pantoprazole 1148,Pantoprazole,650 mg,Inhaler,Jubilant Pharmova Ltd,166.0,Inhaler of 100 doses,"Acidity, heartburn and gastroesophageal reflux disease (GERD)",Acidity Regulator
Hydroxychloroquine DS 1149,Hydroxychloroquine,10 mg,Capsule,Pfizer Ltd,24.5,Strip of 30,Rheumatoid arthritis and malaria,Anti-inflammatory / Antimalarial
Alprazolam DS 1150,Alprazolam,400 IU,Drops,Lupin Ltd,31.0,Bottle of 10 ml,Anxiety and panic disorders,Anxiolytic
Rabeprazole 250 1151,Rabeprazole,10 mg,Capsule,Cadila Pharmaceuticals Ltd,25.5,Strip of 10,Acidity and reflux disease,Acidity Regulator
Losartan SR 1152,Losartan,150 mg,Gel,Mankind Pharma Ltd,19.0,Tube of 20 gm,High blood pressure and heart failure,Blood Pressure Regulator
Levofloxacin DS 1153,Levofloxacin,200 mg,Cream,Zydus Lifesciences Ltd,21.5,Tube of 30 gm,Bacterial infections including pneumonia and sinusitis,Antibiotic
Amlodipine 250 1154,Amlodipine,100 mg/5 ml,Syrup,Alembic Pharmaceuticals Ltd,56.0,Bottle of 150 ml,High blood pressure and angina,Blood Pressure Regulator
Amoxicillin SR 1155,Amoxicillin,50 mg,Gel,Sun Pharmaceutical Industries Ltd,36.0,Tube of 10 gm,"Bacterial infections of respiratory tract, ear, nose and throat",Antibiotic
Doxycycline 250 1156,Doxycycline,20 mg/5 ml,Ointment,Glenmark Pharmaceuticals Ltd,11.0,Tube of 10 gm,Various bacterial infections including acne and respiratory infections,Antibiotic
Tramadol Max 1157,Tramadol,250 mg,Syrup,Ipca Laboratories Ltd,51.0,Bottle of 150 ml,Moderate to severe pain,Painkiller
Risperidone Max 1158,Risperidone,200 mg,Ointment,Sun Pharmaceutical Industries Ltd,23.5,Tube of 15 gm,Schizophrenia and behavioral disorders,Antipsychotic
Fluoxetine SR 1159,Fluoxetine,250 mg/5 ml,Cream,Alkem Laboratories Ltd,38.5,Tube of 30 gm,"Depression, OCD and bulimia nervosa",Antidepressant
Fluoxetine Max 1160,Fluoxetine,20 mg/5 ml,Ointment,Alkem Laboratories Ltd,11.5,Tube of 20 gm,"Depression, OCD and bulimia nervosa",Antidepressant
Ciprofloxacin Max 1161,Ciprofloxacin,1000 IU,Syrup,Jubilant Pharmova Ltd,61.0,Bottle of 150 ml,Urinary tract and gastrointestinal infections,Antibiotic
Thyroxine 1162,Thyroxine,20 mg,Ointment,Sun Pharmaceutical Industries Ltd,23.5,Tube of 20 gm,Hypothyroidism,Hormone Regulator
Losartan Plus 1163,Losartan,100 mg/5 ml,Injection,Ipca Laboratories Ltd,100.0,Vial of 5 ml,High blood pressure and heart failure,Blood Pressure Regulator
Telmisartan 1164,Telmisartan,200 mg,Drops,Lupin Ltd,34.0,Bottle of 5 ml,Hypertension and cardiovascular risk reduction,Blood Pressure Regulator
Iron 500 1165,Iron Fumarate,100 mg,Injection,Cadila Pharmaceuticals Ltd,118.5,Vial of 2 ml,Iron deficiency anemia,Supplement
Ofloxacin DS 1166,Ofloxacin,75 mg,Injection,Biocon Ltd,98.5,Vial of 2 ml,Bacterial infections of urinary and respiratory tract,Antibiotic
Pantoprazole Forte 1167,Pantoprazole,1000 IU,Ointment,Biocon Ltd,67.0,Tube of 20 gm,"Acidity, heartburn and gastroesophageal reflux disease (GERD)",Acidity Regulator
Insulin 250 1168,Insulin Glargine,50 mg,Capsule,Alembic Pharmaceuticals Ltd,17.5,Strip of 10,Long-acting insulin for diabetes mellitus,Antidiabetic
Calcium XR 1169,Calcium Carbonate,400 IU,Syrup,Alkem Laboratories Ltd,17.0,Bottle of 200 ml,Calcium deficiency and bone disorders,Supplement
Budesonide Max 1170,Budesonide,1000 IU,Drops,Sanofi India Ltd,89.0,Bottle of 15 ml,Asthma and inflammatory bowel disease,Respiratory
Calcium DS 1171,Calcium Carbonate,400 IU,Gel,Alembic Pharmaceuticals Ltd,12.0,Tube of 15 gm,Calcium deficiency and bone disorders,Supplement
Gliclazide SR 1172,Gliclazide,50 mg,Gel,Ipca Laboratories Ltd,17.5,Tube of 15 gm,Type 2 diabetes mellitus,Antidiabetic
Insulin SR 1173,Insulin Glargine,250 mg,Gel,Glenmark Pharmaceuticals Ltd,31.0,Tube of 10 gm,Long-acting insulin for diabetes mellitus,Antidiabetic
Formoterol 500 1174,Formoterol,650 mg,Cream,Lupin Ltd,55.5,Tube of 10 gm,Asthma and COPD,Respiratory
Thyroxine Max 1175,Thyroxine,650 mg,Syrup,Pfizer Ltd,119.5,Bottle of 150 ml,Hypothyroidism,Hormone Regulator
Atenolol DS 1176,Atenolol,100 mg,Gel,Torrent Pharmaceuticals Ltd,32.5,Tube of 30 gm,High blood pressure and chest pain,Blood Pressure Regulator
Azithromycin DS 1177,Azithromycin,75 mg,Injection,Alkem Laboratories Ltd,106.5,Vial of 10 ml,Bacterial infections including respiratory and skin infections,Antibiotic
Paracetamol 1178,Paracetamol,200 mg,Capsule,Dr. Reddy's Laboratories Ltd,18.5,Strip of 20,Fever and mild to moderate pain relief,Painkiller
Salbutamol XR 1179,Salbutamol,150 mg,Gel,Sanofi India Ltd,34.0,Tube of 15 gm,Asthma and bronchospasm,Respiratory
Alprazolam XR 1180,Alprazolam,1000 IU,Syrup,Cadila Pharmaceuticals Ltd,95.0,Bottle of 100 ml,Anxiety and panic disorders,Anxiolytic
Risperidone Advance 1181,Risperidone,500 mg,Ointment,Micro Labs Ltd,48.5,Tube of 15 gm,Schizophrenia and behavioral disorders,Antipsychotic
Folic Max 1182,Folic Acid,250 mg,Ointment,Cadila Pharmaceuticals Ltd,39.5,Tube of 15 gm,Folic acid deficiency and pregnancy support,Supplement
Olanzapine Plus 1183,Olanzapine,75 mg,Tablet,Jubilant Pharmova Ltd,34.5,Strip of 10,Schizophrenia and bipolar disorder,Antipsychotic
Cetirizine SR 1184,Cetirizine,250 mg,Inhaler,Biocon Ltd,79.0,Inhaler of 200 doses,Allergic conditions and sneezing,Antiallergic
Glimipiride DS 1185,Glimipiride,650 mg,Tablet,Jubilant Pharmova Ltd,87.5,Strip of 20,Type 2 diabetes mellitus,Antidiabetic
Montelukast SR 1186,Montelukast,250 mg/5 ml,Oral Suspension,Dr. Reddy's Laboratories Ltd,60.5,Bottle of 200 ml,Asthma and allergic rhinitis,Respiratory
Budesonide 500 1187,Budesonide,400 IU,Tablet,Sun Pharmaceutical Industries Ltd,18.5,Strip of 30,Asthma and inflammatory bowel disease,Respiratory
Amoxicillin Max 1188,Amoxicillin,150 mg,Drops,Sanofi India Ltd,26.0,Bottle of 5 ml,"Bacterial infections of respiratory tract, ear, nose and throat",Antibiotic
Fluconazole DS 1189,Fluconazole,75 mg,Syrup,Torrent Pharmaceuticals Ltd,32.0,Bottle of 60 ml,Fungal infections,Antifungal
Diclofenac 1190,Diclofenac,100 mg/5 ml,Injection,Glenmark Pharmaceuticals Ltd,91.0,Vial of 5 ml,Pain and inflammation in arthritis and musculoskeletal conditions,Painkiller
Levocetirizine 250 1191,Levocetirizine,250 mg,Tablet,Mankind Pharma Ltd,24.0,Strip of 15,Allergic rhinitis and urticaria,Antiallergic
Vitamin Plus 1192,Vitamin D3,40 mg,Ointment,Sanofi India Ltd,11.0,Tube of 15 gm,Vitamin D deficiency and bone health,Supplement
Alprazolam SR 1193,Alprazolam,5 mg,Inhaler,Wockhardt Ltd,67.5,Inhaler of 200 doses,Anxiety and panic disorders,Anxiolytic
Omeprazole XR 1194,Omeprazole,250 mg,Injection,Abbott India Ltd,115.5,Vial of 1 ml,"Acidity, peptic ulcer and GERD",Acidity Regulator
Insulin 1195,Insulin Aspart,100 mg/5 ml,Tablet,Zydus Lifesciences Ltd,23.0,Strip of 10,Rapid-acting insulin for diabetes mellitus,Antidiabetic
Losartan Advance 1196,Losartan,50 mg,Drops,Mankind Pharma Ltd,38.0,Bottle of 5 ml,High blood pressure and heart failure,Blood Pressure Regulator
Hydroxychloroquine 500 1197,Hydroxychloroquine,10 mg,Drops,Torrent Pharmaceuticals Ltd,28.5,Bottle of 5 ml,Rheumatoid arthritis and malaria,Anti-inflammatory / Antimalarial
Losartan XR 1198,Losartan,100 mg/5 ml,Drops,Jubilant Pharmova Ltd,24.0,Bottle of 10 ml,High blood pressure and heart failure,Blood Pressure Regulator
B-complex 1199,B-complex,20 mg,Injection,Sun Pharmaceutical Industries Ltd,76.5,Vial of 10 ml,Vitamin B deficiency and weakness,Supplement
Metoprolol 500 1200,Metoprolol,40 mg,Inhaler,Sanofi India Ltd,72.0,Inhaler of 100 doses,"Hypertension, angina and heart failure",Blood Pressure Regulator
Budesonide DS 1201,Budesonide,75 mg,Drops,Cipla Ltd,50.0,Bottle of 15 ml,Asthma and inflammatory bowel disease,Respiratory
Metformin Plus 1202,Metformin,500 mg,Injection,Sanofi India Ltd,214.5,Vial of 5 ml,Type 2 diabetes mellitus,Antidiabetic
Calcium 500 1203,Calcium Carbonate,1000 IU,Oral Suspension,Abbott India Ltd,92.5,Bottle of 200 ml,Calcium deficiency and bone disorders,Supplement
Metoprolol Forte 1204,Metoprolol,150 mg,Oral Suspension,Abbott India Ltd,39.5,Bottle of 150 ml,"Hypertension, angina and heart failure",Blood Pressure Regulator
Amoxicillin XR 1205,Amoxicillin,100 mg,Syrup,Micro Labs Ltd,22.5,Bottle of 60 ml,"Bacterial infections of respiratory tract, ear, nose and throat",Antibiotic
Sertraline XR 1206,Sertraline,100 mg/5 ml,Syrup,Jubilant Pharmova Ltd,51.0,Bottle of 60 ml,Depression and anxiety disorders,Antidepressant
Nimesulide Plus 1207,Nimesulide,100 mg,Capsule,Cadila Pharmaceuticals Ltd,25.5,Strip of 30,Pain and inflammation,General Use
Formoterol 1208,Formoterol,20 mg/5 ml,Ointment,Glenmark Pharmaceuticals Ltd,12.0,Tube of 20 gm,Asthma and COPD,Respiratory
Cetirizine 1209,Cetirizine,100 mg,Gel,Zydus Lifesciences Ltd,32.0,Tube of 20 gm,Allergic conditions and sneezing,Antiallergic
Cetirizine Forte 1210,Cetirizine,75 mg,Capsule,Zydus Lifesciences Ltd,44.5,Strip of 20,Allergic conditions and sneezing,Antiallergic
Cefixime Forte 1211,Cefixime,400 IU,Injection,Micro Labs Ltd,30.5,Vial of 10 ml,Bacterial infections including urinary tract and respiratory infections,Antibiotic
Omeprazole DS 1212,Omeprazole,1000 IU,Injection,Wockhardt Ltd,173.0,Vial of 2 ml,"Acidity, peptic ulcer and GERD",Acidity Regulator
Metformin DS 1213,Metformin,50 mg,Inhaler,Dr. Reddy's Laboratories Ltd,64.5,Inhaler of 100 doses,Type 2 diabetes mellitus,Antidiabetic
Thyroxine SR 1214,Thyroxine,10 mg,Injection,Sun Pharmaceutical Industries Ltd,60.5,Vial of 10 ml,Hypothyroidism,Hormone Regulator
Paracetamol 250 1215,Paracetamol,250 mg,Cream,Abbott India Ltd,45.5,Tube of 30 gm,Fever and mild to moderate pain relief,Painkiller
Metoprolol XR 1216,Metoprolol,1000 IU,Capsule,Cadila Pharmaceuticals Ltd,51.5,Strip of 10,"Hypertension, angina and heart failure",Blood Pressure Regulator
Risperidone 250 1217,Risperidone,250 mg,Oral Suspension,Intas Pharmaceuticals Ltd,56.5,Bottle of 150 ml,Schizophrenia and behavioral disorders,Antipsychotic
Paracetamol Plus 1218,Paracetamol,10 mg,Cream,Abbott India Ltd,23.0,Tube of 10 gm,Fever and mild to moderate pain relief,Painkiller
Lorazepam Forte 1219,Lorazepam,100 mg/5 ml,Oral Suspension,Dr. Reddy's Laboratories Ltd,30.0,Bottle of 150 ml,Anxiety and insomnia,Anxiolytic
Clopidogrel XR 1220,Clopidogrel,650 mg,Capsule,Sun Pharmaceutical Industries Ltd,56.0,Strip of 10,Prevention of blood clots and stroke,Blood Thinner
Budesonide Plus 1221,Budesonide,40 mg,Ointment,Zydus Lifesciences Ltd,17.0,Tube of 20 gm,Asthma and inflammatory bowel disease,Respiratory
Azithromycin Plus 1222,Azithromycin,1000 IU,Ointment,Zydus Lifesciences Ltd,65.0,Tube of 30 gm,Bacterial infections including respiratory and skin infections,Antibiotic
Alprazolam Plus 1223,Alprazolam,250 mg/5 ml,Capsule,Biocon Ltd,23.5,Strip of 10,Anxiety and panic disorders,Anxiolytic
Cefixime DS 1224,Cefixime,150 mg,Cream,Dr. Reddy's Laboratories Ltd,16.5,Tube of 30 gm,Bacterial infections including urinary tract and respiratory infections,Antibiotic
Azithromycin Plus 1225,Azithromycin,100 mg/5 ml,Injection,Dr. Reddy's Laboratories Ltd,96.0,Vial of 1 ml,Bacterial infections including respiratory and skin infections,Antibiotic
Atenolol Advance 1226,Atenolol,20 mg/5 ml,Cream,Lupin Ltd,21.5,Tube of 15 gm,High blood pressure and chest pain,Blood Pressure Regulator
Formoterol 250 1227,Formoterol,100 mg,Inhaler,Cadila Pharmaceuticals Ltd,80.0,Inhaler of 200 doses,Asthma and COPD,Respiratory
B-complex 1228,B-complex,650 mg,Inhaler,Abbott India Ltd,158.0,Inhaler of 120 doses,Vitamin B deficiency and weakness,Supplement
Budesonide 1229,Budesonide,650 mg,Oral Suspension,Lupin Ltd,89.5,Bottle of 60 ml,Asthma and inflammatory bowel disease,Respiratory
Budesonide Max 1230,Budesonide,50 mg,Oral Suspension,Ipca Laboratories Ltd,36.0,Bottle of 200 ml,Asthma and inflammatory bowel disease,Respiratory
Risperidone Forte 1231,Risperidone,250 mg/5 ml,Inhaler,Glenmark Pharmaceuticals Ltd,74.0,Inhaler of 60 doses,Schizophrenia and behavioral disorders,Antipsychotic
Azithromycin 250 1232,Azithromycin,75 mg,Syrup,Biocon Ltd,41.5,Bottle of 150 ml,Bacterial infections including respiratory and skin infections,Antibiotic
Clopidogrel XR 1233,Clopidogrel,50 mg,Inhaler,Torrent Pharmaceuticals Ltd,68.0,Inhaler of 120 doses,Prevention of blood clots and stroke,Blood Thinner
Atenolol Advance 1234,Atenolol,100 mg,Ointment,Ipca Laboratories Ltd,30.0,Tube of 15 gm,High blood pressure and chest pain,Blood Pressure Regulator
Azithromycin 1235,Azithromycin,1000 IU,Oral Suspension,Jubilant Pharmova Ltd,76.5,Bottle of 100 ml,Bacterial infections including respiratory and skin infections,Antibiotic
Cetirizine Forte 1236,Cetirizine,500 mg,Oral Suspension,Abbott India Ltd,95.0,Bottle of 200 ml,Allergic conditions and sneezing,Antiallergic
Formoterol Max 1237,Formoterol,150 mg,Ointment,Micro Labs Ltd,24.5,Tube of 15 gm,Asthma and COPD,Respiratory
Pantoprazole Forte 1238,Pantoprazole,250 mg,Gel,Wockhardt Ltd,47.5,Tube of 15 gm,"Acidity, heartburn and gastroesophageal reflux disease (GERD)",Acidity Regulator
Fluoxetine Forte 1239,Fluoxetine,250 mg/5 ml,Oral Suspension,Micro Labs Ltd,42.0,Bottle of 150 ml,"Depression, OCD and bulimia nervosa",Antidepressant
Lorazepam DS 1240,Lorazepam,10 mg,Cream,Sanofi India Ltd,22.5,Tube of 10 gm,Anxiety and insomnia,Anxiolytic
Levofloxacin 1241,Levofloxacin,500 mg,Tablet,Pfizer Ltd,63.5,Strip of 15,Bacterial infections including pneumonia and sinusitis,Antibiotic
Atenolol 500 1242,Atenolol,10 mg,Gel,Biocon Ltd,10.5,Tube of 10 gm,High blood pressure and chest pain,Blood Pressure Regulator
Cetirizine Forte 1243,Cetirizine,75 mg,Oral Suspension,Glenmark Pharmaceuticals Ltd,55.5,Bottle of 100 ml,Allergic conditions and sneezing,Antiallergic
Doxycycline Forte 1244,Doxycycline,5 mg,Drops,Glenmark Pharmaceuticals Ltd,15.5,Bottle of 10 ml,Various bacterial infections including acne and respiratory infections,Antibiotic
Pantoprazole Plus 1245,Pantoprazole,50 mg,Tablet,Sanofi India Ltd,25.0,Strip of 15,"Acidity, heartburn and gastroesophageal reflux disease (GERD)",Acidity Regulator
Clopidogrel 500 1246,Clopidogrel,5 mg,Gel,Pfizer Ltd,20.0,Tube of 30 gm,Prevention of blood clots and stroke,Blood Thinner
Olanzapine DS 1247,Olanzapine,650 mg,Capsule,Torrent Pharmaceuticals Ltd,77.5,Strip of 15,Schizophrenia and bipolar disorder,Antipsychotic
Fluconazole Advance 1248,Fluconazole,200 mg,Cream,Abbott India Ltd,16.5,Tube of 15 gm,Fungal infections,Antifungal
Cefixime Max 1249,Cefixime,10 mg,Inhaler,Jubilant Pharmova Ltd,69.5,Inhaler of 120 doses,Bacterial infections including urinary tract and respiratory infections,Antibiotic
Losartan SR 1250,Losartan,40 mg,Tablet,Torrent Pharmaceuticals Ltd,29.5,Strip of 30,High blood pressure and heart failure,Blood Pressure Regulator
Montelukast Plus 1251,Montelukast,400 IU,Capsule,Micro Labs Ltd,13.5,Strip of 30,Asthma and allergic rhinitis,Respiratory
Alprazolam SR 1252,Alprazolam,200 mg,Drops,Wockhardt Ltd,26.5,Bottle of 10 ml,Anxiety and panic disorders,Anxiolytic
Olanzapine XR 1253,Olanzapine,1000 IU,Ointment,Wockhardt Ltd,51.5,Tube of 30 gm,Schizophrenia and bipolar disorder,Antipsychotic
Hydroxychloroquine Forte 1254,Hydroxychloroquine,250 mg,Inhaler,Alkem Laboratories Ltd,149.5,Inhaler of 200 doses,Rheumatoid arthritis and malaria,Anti-inflammatory / Antimalarial
Losartan 250 1255,Losartan,10 mg,Cream,Mankind Pharma Ltd,23.5,Tube of 15 gm,High blood pressure and heart failure,Blood Pressure Regulator
Levofloxacin Plus 1256,Levofloxacin,500 mg,Injection,Torrent Pharmaceuticals Ltd,134.5,Vial of 5 ml,Bacterial infections including pneumonia and sinusitis,Antibiotic
Amlodipine SR 1257,Amlodipine,250 mg,Inhaler,Cadila Pharmaceuticals Ltd,122.0,Inhaler of 200 doses,High blood pressure and angina,Blood Pressure Regulator
Iron 500 1258,Iron Fumarate,100 mg/5 ml,Gel,Alembic Pharmaceuticals Ltd,33.0,Tube of 20 gm,Iron deficiency anemia,Supplement
Metoprolol XR 1259,Metoprolol,100 mg,Cream,Glenmark Pharmaceuticals Ltd,20.5,Tube of 10 gm,"Hypertension, angina and heart failure",Blood Pressure Regulator
Ofloxacin SR 1260,Ofloxacin,75 mg,Capsule,Ipca Laboratories Ltd,31.5,Strip of 10,Bacterial infections of urinary and respiratory tract,Antibiotic
Metoprolol Plus 1261,Metoprolol,650 mg,Oral Suspension,Lupin Ltd,72.0,Bottle of 100 ml,"Hypertension, angina and heart failure",Blood Pressure Regulator
Doxycycline Max 1262,Doxycycline,150 mg,Oral Suspension,Intas Pharmaceuticals Ltd,50.5,Bottle of 150 ml,Various bacterial infections including acne and respiratory infections,Antibiotic
Cetirizine Max 1263,Cetirizine,50 mg,Inhaler,Jubilant Pharmova Ltd,45.5,Inhaler of 120 doses,Allergic conditions and sneezing,Antiallergic
Atenolol Advance 1264,Atenolol,20 mg/5 ml,Ointment,Sanofi India Ltd,21.5,Tube of 10 gm,High blood pressure and chest pain,Blood Pressure Regulator
Insulin Forte 1265,Insulin Aspart,50 mg,Drops,Sanofi India Ltd,31.0,Bottle of 15 ml,Rapid-acting insulin for diabetes mellitus,Antidiabetic
Montelukast Advance 1266,Montelukast,5 mg,Gel,Ipca Laboratories Ltd,22.0,Tube of 30 gm,Asthma and allergic rhinitis,Respiratory
Risperidone 500 1267,Risperidone,150 mg,Gel,Dr. Reddy's Laboratories Ltd,34.0,Tube of 30 gm,Schizophrenia and behavioral disorders,Antipsychotic
Fluoxetine XR 1268,Fluoxetine,10 mg,Cream,Cadila Pharmaceuticals Ltd,23.0,Tube of 10 gm,"Depression, OCD and bulimia nervosa",Antidepressant
Levofloxacin 1269,Levofloxacin,50 mg,Syrup,Mankind Pharma Ltd,41.0,Bottle of 150 ml,Bacterial infections including pneumonia and sinusitis,Antibiotic
Doxycycline 250 1270,Doxycycline,100 mg/5 ml,Oral Suspension,Alembic Pharmaceuticals Ltd,51.0,Bottle of 150 ml,Various bacterial infections including acne and respiratory infections,Antibiotic
Aspirin 1271,Aspirin,100 mg,Inhaler,Biocon Ltd,114.0,Inhaler of 100 doses,Pain relief and prevention of heart attack and stroke,Painkiller / Blood Thinner
Doxycycline Forte 1272,Doxycycline,20 mg/5 ml,Inhaler,Sanofi India Ltd,77.5,Inhaler of 60 doses,Various bacterial infections including acne and respiratory infections,Antibiotic
Fluconazole Plus 1273,Fluconazole,10 mg,Cream,Wockhardt Ltd,15.0,Tube of 30 gm,Fungal infections,Antifungal
Hydroxychloroquine Plus 1274,Hydroxychloroquine,500 mg,Injection,Glenmark Pharmaceuticals Ltd,191.0,Vial of 2 ml,Rheumatoid arthritis and malaria,Anti-inflammatory / Antimalarial
Cefixime DS 1275,Cefixime,400 IU,Inhaler,Sun Pharmaceutical Industries Ltd,40.0,Inhaler of 200 doses,Bacterial infections including urinary tract and respiratory infections,Antibiotic
Atenolol SR 1276,Atenolol,5 mg,Oral Suspension,Mankind Pharma Ltd,16.5,Bottle of 60 ml,High blood pressure and chest pain,Blood Pressure Regulator
